SampleID,ReadsID,Base,MeanQualityScore,,Mean,Count,StdDev,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,150-154,35.08206541,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,155-159,35.28779159,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,160-164,35.5189297,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,165-169,35.32212315,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,170-174,35.40173013,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,175-179,35.23616101,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,180-184,35.21527967,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,185-189,34.95727916,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,190-194,35.07422676,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,195-199,34.6585753,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,200-204,34.46449676,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,205-209,34.85902078,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,210-214,34.88629494,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,215-219,34.38889471,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,220-224,34.28590818,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,225-229,34.1873682,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,230-234,34.34268336,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,235-239,33.98590267,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,240-244,33.60315556,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,245-249,33.28356667,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R1,250,33.91331221,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,150-154,34.97354245,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,155-159,34.91453202,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,160-164,34.84320823,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,165-169,34.85427865,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,170-174,34.7910338,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,175-179,34.69535027,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,180-184,34.57703945,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,185-189,34.60424447,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,190-194,34.27300004,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,195-199,34.3208531,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,200-204,33.80856233,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,205-209,34.1478846,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,210-214,34.10580149,,,,,,,,,,,,,,,,,,,,,,
1n1a,SLF-1n_R2,215-219,34.08520307,,,,,,,,,,,,,,,,,,,,,,
